config_id,mean_interarrival_normal,mean_interarrival_peak,replication,scenario,seed,use_extra_employee,simulation_end_time,total_customers,completed_customers,delayed_customers,delayed_percentage,average_wait,max_wait,average_queue_length,employee_1_busy_time,employee_1_utilization,employee_2_busy_time,employee_2_utilization,employee_3_busy_time,employee_3_utilization
arrival_normal_6_peak_2_5,6.0,2.5,1,two_employees,1,False,668.976206504407,159,159,75,47.16981132075472,5.404752256551517,22.226598900196777,1.3004549251756574,468.91631966742193,0.7009461847942912,382.58648948683776,0.5718985006745788,0.0,0.0
arrival_normal_6_peak_2_5,6.0,2.5,1,extra_employee_peak,1,True,668.976206504407,159,159,8,5.031446540880503,1.0181451683898897,10.589854144745729,0.2436813993912652,410.4499235155466,0.6135493602384836,300.27214971974,0.4488532578591223,140.78073591897316,0.2104420673712642
arrival_normal_6_peak_2_5,6.0,2.5,2,two_employees,2,False,661.6017574463552,166,166,89,53.6144578313253,12.207471572932278,43.698274456484,3.0703640622829673,470.79244109203466,0.711594907046794,388.89288001494555,0.5878050891460611,0.0,0.0
arrival_normal_6_peak_2_5,6.0,2.5,2,extra_employee_peak,2,True,661.6017574463552,166,166,16,9.63855421686747,1.4240089655231503,12.965672483262892,0.3581598307224893,404.0414627275185,0.6107019187600623,305.52420688890925,0.4617947329344604,150.11965149055254,0.22690334449833247
arrival_normal_6_peak_2_5,6.0,2.5,3,two_employees,3,False,667.7069488389396,177,177,99,55.932203389830505,8.278623235984782,33.83159186012881,2.211571181303873,499.41281529036223,0.7479521010808405,440.2116811531062,0.659288752226677,0.0,0.0
arrival_normal_6_peak_2_5,6.0,2.5,3,extra_employee_peak,3,True,667.7069488389396,177,177,12,6.779661016949152,1.141809742969836,11.265178780560404,0.29760756272259287,443.059572316628,0.6635539334839247,338.9797331966972,0.5076774081595846,157.5851909301431,0.2360095116640083
arrival_normal_6_peak_2_5,6.0,2.5,4,two_employees,4,False,668.9642266495764,198,198,113,57.07070707070707,12.543955464018634,43.891912742073515,3.7599039682565496,533.4183287072002,0.7973794523793285,504.11818297028583,0.7535801809539183,0.0,0.0
arrival_normal_6_peak_2_5,6.0,2.5,4,extra_employee_peak,4,True,668.9642266495764,198,198,39,19.696969696969695,2.696379962891406,14.261259268607745,0.8056313179183784,460.7726892854992,0.6887852458018893,406.93735973738654,0.6083095979219717,169.82646265460025,0.2538647896093859
arrival_normal_6_peak_2_5,6.0,2.5,5,two_employees,5,False,660.0,169,169,92,54.437869822485204,9.880033887570084,36.94075407542178,2.5298874651505208,468.5669630840989,0.7099499440668166,400.88941309490696,0.6074082016589499,0.0,0.0
arrival_normal_6_peak_2_5,6.0,2.5,5,extra_employee_peak,5,True,660.0,169,169,15,8.875739644970414,1.1747754517580016,7.927540783622362,0.3008137141622762,399.5298309438632,0.605348228702823,303.5199020117443,0.4598786394117338,166.40664322339842,0.25213127761120974
arrival_normal_6_peak_2_5,6.0,2.5,6,two_employees,6,False,660.0,167,167,73,43.712574850299404,8.500909047847117,39.199845973657034,2.1509875924098014,490.66805103326976,0.7434364409594997,390.5477567137407,0.5917390253238495,0.0,0.0
arrival_normal_6_peak_2_5,6.0,2.5,6,extra_employee_peak,6,True,660.0,167,167,13,7.7844311377245505,1.4472346348756644,8.75037239602267,0.36619421821853937,420.7338343083775,0.6374755065278447,310.09408000097307,0.4698395151529895,150.38789343765967,0.22786044460251464
arrival_normal_6_peak_2_5,6.0,2.5,7,two_employees,7,False,660.4133705800818,138,138,55,39.85507246376812,7.011150865356927,29.01322606861504,1.4659679082109935,403.2868043783124,0.6106581458580718,320.22609500368594,0.48488735884073875,0.0,0.0
arrival_normal_6_peak_2_5,6.0,2.5,7,extra_employee_peak,7,True,660.4133705800818,138,138,2,1.4492753623188406,0.6089492816578151,5.461591302012778,0.12732575889208864,353.8389559605705,0.5357840584750304,251.20130703549208,0.38036980810192633,118.47263638593574,0.17939163812185377
